year,early20s,late20s,early30s,late30s,total,increaseRate,ratePercent
2015,188461,213803,193788,149301,745353,N/A,N/A
2016,203522,222173,188360,152195,766250,2.80%,2.8
2017,209925,234402,186128,161247,791702,3.32%,3.32
2018,219331,257832,188587,167108,832858,5.20%,5.2
2019,236766,293935,200815,171111,902627,8.38%,8.38
2020,275069,341691,223848,176943,1017551,12.73%,12.73
